,sample,path,fna_file,fsa_file,gff_file,tbl_file,contig_base
0,0CC1F_S1A42,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1F_S1A42,True,True,True,True,MEJNNKNB
0,0CC1F_S1A43,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1F_S1A43,True,True,True,True,GMEOBGKG
0,0CC1F_S1A44,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1F_S1A44,True,True,True,True,MBAKKCJH
0,0CC1F_S1A45,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1F_S1A45,True,True,True,True,CLHBEPKN
0,0CC1F_S1A46,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1F_S1A46,True,True,True,True,IHHGGGLO
0,0CC1F_S1A47,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1F_S1A47,True,True,True,True,JIOAODBO
0,0CC1F_S1A48,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1F_S1A48,True,True,True,True,INAMCFKF
0,0CC1K_S1B01,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B01,True,True,True,True,NMDMBNLF
0,0CC1K_S1B02,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B02,True,True,True,True,HFKLNKHO
0,0CC1K_S1B03,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B03,True,True,True,True,KGHGFLHM
