,gene,gains,losses,count,dist,subsize
3885,group_2727,2,0,2.0,0.053032,0.0012109999999999998
3886,group_402,1,0,1.0,0.37004099999999995,0.001028
3887,group_4917,1,0,1.0,0.053032,0.000498
3888,group_5071,2,0,2.0,0.25182,0.002192
3889,ndhH_2,1,0,1.0,0.053495,0.001059
3890,group_6156,2,0,2.0,0.05178,0.002214
3891,group_6157,2,0,2.0,0.05178,0.002214
3892,group_685,2,0,2.0,0.053495,0.0017720000000000001
3893,group_709,1,0,1.0,0.33328199999999997,0.001039
3894,group_7257,1,0,1.0,0.053495,0.001059
3895,group_8436,1,0,1.0,0.065317,0.027316
3896,group_8437,1,0,1.0,0.065317,0.027316
3897,group_8439,1,0,1.0,0.065317,0.027316
3898,group_8440,1,0,1.0,0.065317,0.027316
3899,group_8491,2,0,2.0,0.252231,0.002299
3900,group_9035,2,0,2.0,0.05178,0.002214
3901,group_9036,2,0,2.0,0.05178,0.002214
3902,group_1484,1,0,1.0,0.338478,0.00204
3903,group_172,2,0,2.0,0.05178,0.003993
3904,group_1904,2,0,2.0,0.25182,0.0067540000000000005
3905,group_1923,1,0,1.0,0.250205,0.000731
3906,msrA_2,2,0,2.0,0.030719999999999997,0.002947
3907,group_2111,1,0,1.0,0.343421,0.00266
3908,group_3629,2,0,2.0,0.033531,0.010535
3909,group_3764,1,0,1.0,0.250205,0.000731
3910,group_3823,2,0,2.0,0.053032,0.0012109999999999998
3911,group_387,3,0,3.0,0.05178,0.0029389999999999998
3912,group_414,1,0,1.0,0.052739,0.000279
3913,group_4146,0,0,0.0,inf,0.0
3914,group_4789,2,0,2.0,0.033531,0.010535
3915,group_5724,1,0,1.0,0.343421,0.00266
3916,group_654,1,0,1.0,0.316068,0.000863
3917,group_6818,1,0,1.0,0.033531,0.00526
3918,group_6914,1,0,1.0,0.033531,0.00526
3919,group_7405,1,0,1.0,0.341341,0.001555
3920,group_8351,1,0,1.0,0.250205,0.000731
3921,group_9034,2,0,2.0,0.05178,0.002214
3922,group_9037,2,0,2.0,0.05178,0.002214
3923,group_9038,2,0,2.0,0.05178,0.002214
3924,group_1319,2,0,2.0,0.337495,0.0031090000000000002
3925,group_1527,2,0,2.0,0.251862,0.0025599999999999998
3926,group_3218,1,0,1.0,0.250205,0.000731
3927,group_3240,1,0,1.0,0.316312,0.001107
3928,group_3822,2,0,2.0,0.05178,0.002441
3929,group_4385,2,0,2.0,0.030719999999999997,0.0047139999999999994
3930,oraE_2,1,0,1.0,0.31588099999999997,0.000677
3931,group_4984,1,0,1.0,0.341341,0.001555
3932,group_7303,2,0,2.0,0.33793399999999996,0.003574
3933,group_8040,1,0,1.0,0.336896,0.001035
3934,group_8366,2,0,2.0,0.053032,0.0016769999999999999
