Unique_No,Unique_ID,Sample_No,Sample_Well,Sample_Plate,Bio_Replicate,Tech_Replicate,Phage,Growth Rate,Time to Max Growth,Saturation OD,Rsq,AUC
140,Plate 2 Well D9,45,D9,A,1,2,0,0.084829259,5.666944444,1.042865589,0.999906915,138.1969333
141,Plate 2 Well D10,46,D10,A,1,2,0,0.121477876,4.666944444,0.565475149,0.999042258,89.97493333
142,Plate 2 Well D11,47,D11,A,1,2,0,0.077759845,15.66694444,0.824532859,0.998898704,89.60113333
143,Plate 2 Well D12,48,D12,A,1,2,0,0.072486857,4.666944444,1.132199282,0.999525763,104.7647
144,Plate 2 Well E1,49,E1,A,1,2,0,0.066453234,6.333611111,0.923332274,0.999155111,78.13246667
145,Plate 2 Well E2,50,E2,A,1,2,0,0.119640105,6.333611111,0.738061395,0.999523477,98.64413333
146,Plate 2 Well E3,51,E3,A,1,2,0,0.082992278,18.66694444,0.878820138,0.999919826,121.3031333
147,Plate 2 Well E4,52,E4,A,1,2,0,0.09559181,19.33361111,0.896349321,0.999853956,117.1183667
148,Plate 2 Well E5,53,E5,A,1,2,0,0.07288525,10.00027778,0.619030032,0.999913918,68.5045
149,Plate 2 Well E6,54,E6,A,1,2,0,0.087889501,5.000277778,1.031132244,0.999772294,145.1688
150,Plate 2 Well E7,55,E7,A,1,2,0,0.125174892,5.000277778,0.765464155,0.999967537,124.8227667
151,Plate 2 Well E8,56,E8,A,1,2,0,0.134793387,4.666944444,1.01826572,0.995419632,78.3827
152,Plate 2 Well E9,57,E9,A,1,2,0,0.088361433,9.000277778,0.633660182,0.999685105,83.2378
153,Plate 2 Well E10,58,E10,A,1,2,0,0.123162669,4.666944444,0.323731178,0.993350325,61.5632
154,Plate 2 Well E11,59,E11,A,1,2,0,0.159867831,4.666944444,0.505996709,0.99834552,78.386
155,Plate 2 Well E12,60,E12,A,1,2,0,0.07325238,4.666944444,0.881265724,0.999126165,116.9992
156,Plate 2 Well F1,61,F1,A,1,2,0,0.1077249,4.666944444,0.495528245,0.995469211,67.27276667
157,Plate 2 Well F2,62,F2,A,1,2,0,0.129344755,4.666944444,0.639058572,0.999485712,90.5267
158,Plate 2 Well F3,63,F3,A,1,2,0,0.103813457,17.33361111,1.139998888,0.999644884,145.4834333
159,Plate 2 Well F4,64,F4,A,1,2,0,0.104526905,4.666944444,0.873399557,0.997814501,113.9405333
160,Plate 2 Well F5,65,F5,A,1,2,0,0.064655128,10.00027778,0.929065343,0.999917117,94.82943333
161,Plate 2 Well F6,66,F6,A,1,2,0,0.098585404,20.66694444,0.976264042,0.99906818,127.1335333
162,Plate 2 Well F7,67,F7,A,1,2,0,0.160323846,7.333611111,0.23479626,0.999905256,49.9218
163,Plate 2 Well F8,68,F8,A,1,2,0,0.093272933,17.66694444,0.971127707,0.999882574,127.7538667
164,Plate 2 Well F9,69,F9,A,1,2,0,0.095619181,15.00027778,0.99799853,0.999909724,135.021
165,Plate 2 Well F10,70,F10,A,1,2,0,0.118173888,4.666944444,0.515730169,0.999747746,65.4266
166,Plate 2 Well F11,71,F11,A,1,2,0,0.125682714,9.666944444,0.780332251,0.999947529,117.7039333
167,Plate 2 Well F12,72,F12,A,1,2,0,0.144156713,7.666944444,0.223462838,0.999878103,47.8335
168,Plate 2 Well G1,73,G1,A,1,2,0,0.123078617,4.666944444,0.254998433,0.996592805,57.57653333
169,Plate 2 Well G2,74,G2,A,1,2,0,0.096947525,4.666944444,0.807731808,0.999092885,79.89346667
170,Plate 2 Well G3,75,G3,A,1,2,0,0.105768803,4.666944444,0.696394667,0.999662334,88.88626667
171,Plate 2 Well G4,76,G4,A,1,2,0,0.105246107,18.33361111,0.984597032,0.999821492,123.1581333
172,Plate 2 Well G5,77,G5,A,1,2,0,0.088099806,5.333611111,0.82259872,0.999980193,124.4268333
173,Plate 2 Well G6,78,G6,A,1,2,0,0.104285586,4.666944444,1.090066332,0.999599252,122.5857
174,Plate 2 Well G7,79,G7,A,1,2,0,0.096278499,9.333611111,1.20359918,0.999877805,137.9174333
175,Plate 2 Well G8,80,G8,A,1,2,0,0.08146039,7.333611111,1.038864815,0.999896383,101.7829
176,Plate 2 Well G9,81,G9,A,1,2,0,0.09933457,16.66694444,0.968930614,0.999884789,127.7766667
177,Plate 2 Well G10,82,G10,A,1,2,0,0.088428823,10.00027778,1.218265875,0.999846938,129.2712667
178,Plate 2 Well G11,83,G11,A,1,2,0,0.128083657,4.666944444,0.573259391,0.999834107,83.55713333
179,Plate 2 Well G12,84,G12,A,1,2,0,0.091128581,4.666944444,0.226199056,0.998101387,52.62373333
180,Plate 2 Well H1,85,H1,A,1,2,0,0.105367367,4.666944444,0.953064603,0.998379471,144.2824667
181,Plate 2 Well H2,86,H2,A,1,2,0,0.113551518,4.666944444,0.956733022,0.995122282,85.13236667
182,Plate 2 Well H3,87,H3,A,1,2,0,0.111550963,4.666944444,1.040198512,0.997564993,160.5788667
183,Plate 2 Well H4,88,H4,A,1,2,0,0.102439192,4.666944444,0.340529056,0.995602535,60.82553333
184,Plate 2 Well H5,89,H5,A,1,2,0,0.14623666,4.666944444,0.598708262,0.999344814,81.8076
185,Plate 2 Well H6,90,H6,A,1,2,0,0.094307589,4.666944444,0.78239755,0.993696885,74.28433333
186,Plate 2 Well H7,91,H7,A,1,2,0,0.097316456,15.33361111,1.001729249,0.999929886,137.1829
