TreeTipLabel,Dataset,Lineage,Subphylogroup,Phylogroup,NewTreeTipLabel,SampleName
2PA3C_Z05_58_16YB_H358,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3C_Z05_58_16YB_H358
2PA3C_Z05_59_16YB_H1159,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3C_Z05_59_16YB_H1159
2PA3C_Z05_60_16YB_H1260,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3C_Z05_60_16YB_H1260
2PA3C_Z05_65_16YB_H965,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3C_Z05_65_16YB_H965
2PA3F_Z01_25_23YDC_C125,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_25_23YDC_C125
2PA3F_Z01_26_23YDC_C226,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_26_23YDC_C226
2PA3F_Z01_27_23YDC_C327,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_27_23YDC_C327
2PA3F_Z01_28_23YDC_C428,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_28_23YDC_C428
2PA3F_Z01_29_23YDC_C529,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_29_23YDC_C529
2PA3F_Z01_30_23YDC_C630,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_30_23YDC_C630
2PA3F_Z01_31_23YDC_C731,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_31_23YDC_C731
2PA3F_Z01_32_23YDC_C832,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_32_23YDC_C832
2PA3F_Z01_33_23YDC_C933,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_33_23YDC_C933
2PA3F_Z01_34_23YDC_C1034,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_34_23YDC_C1034
2PA3F_Z01_35_23YDC_C1135,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_35_23YDC_C1135
2PA3F_Z01_36_23YDC_C1236,Baker2023,acera128,K.1.2,K,Family 2 - Adult 1 - Lineage 128 - TP3,2PA3F_Z01_36_23YDC_C1236
2PA3F_Z01_37_23YDC_D137,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_37_23YDC_D137
2PA3F_Z01_38_23YDC_D238,Baker2023,acera128,K.1.2,K,Family 2 - Adult 1 - Lineage 128 - TP3,2PA3F_Z01_38_23YDC_D238
2PA3F_Z01_39_23YDC_D339,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z01_39_23YDC_D339
2PA3F_Z01_40_23YDC_D440,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_40_23YDC_D440
2PA3F_Z01_41_23YDC_D541,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_41_23YDC_D541
2PA3F_Z01_42_23YDC_D642,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z01_42_23YDC_D642
2PA3F_Z01_49_23YDC_E149,Baker2023,acera128,K.1.2,K,Family 2 - Adult 1 - Lineage 128 - TP3,2PA3F_Z01_49_23YDC_E149
2PA3F_Z01_50_23YDC_E250,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z01_50_23YDC_E250
2PA3F_Z01_51_23YDC_E351,Baker2023,acera128,K.1.2,K,Family 2 - Adult 1 - Lineage 128 - TP3,2PA3F_Z01_51_23YDC_E351
2PA3F_Z01_52_23YDC_E452,Baker2023,acera128,K.1.2,K,Family 2 - Adult 1 - Lineage 128 - TP3,2PA3F_Z01_52_23YDC_E452
2PA3F_Z01_53_23YDC_E553,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z01_53_23YDC_E553
2PA3F_Z01_54_23YDC_E654,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z01_54_23YDC_E654
2PA3F_Z01_55_23YDC_E755,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_55_23YDC_E755
2PA3F_Z01_56_23YDC_E856,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_56_23YDC_E856
2PA3F_Z01_57_23YDC_E957,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_57_23YDC_E957
2PA3F_Z01_58_23YDC_E1058,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_58_23YDC_E1058
2PA3F_Z01_59_23YDC_E1159,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_59_23YDC_E1159
2PA3F_Z01_60_23YDC_E1260,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3F_Z01_60_23YDC_E1260
2PA3F_Z05_1_16YB_A21,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_1_16YB_A21
2PA3F_Z05_10_16YB_B710,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_10_16YB_B710
2PA3F_Z05_12_16YB_B1212,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_12_16YB_B1212
2PA3F_Z05_13_16YB_C113,Baker2023,acera49,D.1,D,Family 2 - Adult 1 - Lineage 49 - TP3,2PA3F_Z05_13_16YB_C113
