TreeTipLabel,Dataset,Lineage,Subphylogroup,Phylogroup,NewTreeTipLabel,SampleName
S8AB3F_24YA24,Baker2023,acera6,H.2,H,Family 8 - Child 2 - Lineage 6 - TP3,8AB3F_24YA24
S8AB3F_24YA3,Baker2023,acera6,H.2,H,Family 8 - Child 2 - Lineage 6 - TP3,8AB3F_24YA3
S8AB3F_24YA4,Baker2023,acera6,H.2,H,Family 8 - Child 2 - Lineage 6 - TP3,8AB3F_24YA4
S8AB3F_24YA5,Baker2023,acera6,H.2,H,Family 8 - Child 2 - Lineage 6 - TP3,8AB3F_24YA5
S8AB3F_24YA6,Baker2023,acera72,F.3,F,Family 8 - Child 2 - Lineage 72 - TP3,8AB3F_24YA6
S8AB3F_24YA7,Baker2023,acera72,F.3,F,Family 8 - Child 2 - Lineage 72 - TP3,8AB3F_24YA7
S8AB3F_24YA8,Baker2023,acera71,F.3,F,Family 8 - Child 2 - Lineage 71 - TP3,8AB3F_24YA8
S8AB3F_24YA9,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3F_24YA9
S8AB3K_24YA49,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3K_24YA49
S8AB3K_24YA51,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3K_24YA51
S8AB3K_24YA52,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3K_24YA52
S8AB3K_24YA53,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3K_24YA53
S8AB3K_24YA54,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3K_24YA54
S8AB3K_24YA56,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3K_24YA56
S8AB3K_24YA60,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3K_24YA60
S8AB3K_24YA64,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3K_24YA64
S8AB3K_24YA65,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3K_24YA65
S8AB3K_24YA67,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3K_24YA67
S8AB3N_24YA25,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA25
S8AB3N_24YA26,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA26
S8AB3N_24YA27,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA27
S8AB3N_24YA28,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA28
S8AB3N_24YA29,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA29
S8AB3N_24YA30,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA30
S8AB3N_24YA31,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA31
S8AB3N_24YA33,Baker2023,acera73,A.3,A,Family 8 - Child 2 - Lineage 73 - TP3,8AB3N_24YA33
S8AB3N_24YA34,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA34
S8AB3N_24YA35,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA35
S8AB3N_24YA36,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA36
S8AB3N_24YA37,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA37
S8AB3N_24YA38,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA38
S8AB3N_24YA39,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA39
S8AB3N_24YA40,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA40
S8AB3N_24YA41,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA41
S8AB3N_24YA42,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA42
S8AB3N_24YA43,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA43
S8AB3N_24YA44,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA44
S8AB3N_24YA45,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA45
S8AB3N_24YA46,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA46
S8AB3N_24YA48,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP3,8AB3N_24YA48
S8AB4C_25YA74,Baker2023,acera74,E.1,E,Family 8 - Child 2 - Lineage 74 - TP4,8AB4C_25YA74
S8AB4C_25YA80,Baker2023,acera73,A.3,A,Family 8 - Child 2 - Lineage 73 - TP4,8AB4C_25YA80
S8AB4C_25YA83,Baker2023,acera66,F.3,F,Family 8 - Child 2 - Lineage 66 - TP4,8AB4C_25YA83
S8AB4C_25YA84,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4C_25YA84
S8AB4C_25YA86,Baker2023,acera74,E.1,E,Family 8 - Child 2 - Lineage 74 - TP4,8AB4C_25YA86
S8AB4C_25YA87,Baker2023,acera7,C.1,C,Family 8 - Child 2 - Lineage 7 - TP4,8AB4C_25YA87
S8AB4C_25YA89,Baker2023,acera7,C.1,C,Family 8 - Child 2 - Lineage 7 - TP4,8AB4C_25YA89
S8AB4C_25YA91,Baker2023,acera71,F.3,F,Family 8 - Child 2 - Lineage 71 - TP4,8AB4C_25YA91
S8AB4C_25YA92,Baker2023,acera7,C.1,C,Family 8 - Child 2 - Lineage 7 - TP4,8AB4C_25YA92
S8AB4C_25YA94,Baker2023,acera74,E.1,E,Family 8 - Child 2 - Lineage 74 - TP4,8AB4C_25YA94
S8AB4C_25YA96,Baker2023,acera71,F.3,F,Family 8 - Child 2 - Lineage 71 - TP4,8AB4C_25YA96
S8AB4F_25YA1,Baker2023,acera72,F.3,F,Family 8 - Child 2 - Lineage 72 - TP4,8AB4F_25YA1
S8AB4F_25YA10,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4F_25YA10
S8AB4F_25YA11,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4F_25YA11
S8AB4F_25YA12,Baker2023,acera6,H.2,H,Family 8 - Child 2 - Lineage 6 - TP4,8AB4F_25YA12
S8AB4F_25YA13,Baker2023,acera68,C.1,C,Family 8 - Child 2 - Lineage 68 - TP4,8AB4F_25YA13
S8AB4F_25YA14,Baker2023,acera68,C.1,C,Family 8 - Child 2 - Lineage 68 - TP4,8AB4F_25YA14
S8AB4F_25YA16,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4F_25YA16
S8AB4F_25YA17,Baker2023,acera72,F.3,F,Family 8 - Child 2 - Lineage 72 - TP4,8AB4F_25YA17
S8AB4F_25YA18,Baker2023,acera68,C.1,C,Family 8 - Child 2 - Lineage 68 - TP4,8AB4F_25YA18
S8AB4F_25YA21,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4F_25YA21
S8AB4F_25YA24,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4F_25YA24
S8AB4F_25YA3,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4F_25YA3
S8AB4F_25YA4,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4F_25YA4
S8AB4F_25YA5,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4F_25YA5
S8AB4F_25YA6,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4F_25YA6
S8AB4F_25YA7,Baker2023,acera72,F.3,F,Family 8 - Child 2 - Lineage 72 - TP4,8AB4F_25YA7
S8AB4F_25YA8,Baker2023,acera72,F.3,F,Family 8 - Child 2 - Lineage 72 - TP4,8AB4F_25YA8
S8AB4F_25YA9,Baker2023,acera73,A.3,A,Family 8 - Child 2 - Lineage 73 - TP4,8AB4F_25YA9
S8AB4K_25YA49,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA49
S8AB4K_25YA50,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA50
S8AB4K_25YA51,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA51
S8AB4K_25YA53,Baker2023,acera72,F.3,F,Family 8 - Child 2 - Lineage 72 - TP4,8AB4K_25YA53
S8AB4K_25YA55,Baker2023,acera72,F.3,F,Family 8 - Child 2 - Lineage 72 - TP4,8AB4K_25YA55
S8AB4K_25YA56,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA56
S8AB4K_25YA58,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA58
S8AB4K_25YA59,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA59
S8AB4K_25YA60,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA60
S8AB4K_25YA61,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA61
S8AB4K_25YA62,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA62
S8AB4K_25YA63,Baker2023,acera73,A.3,A,Family 8 - Child 2 - Lineage 73 - TP4,8AB4K_25YA63
S8AB4K_25YA64,Baker2023,acera71,F.3,F,Family 8 - Child 2 - Lineage 71 - TP4,8AB4K_25YA64
S8AB4K_25YA66,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA66
S8AB4K_25YA67,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA67
S8AB4K_25YA69,Baker2023,acera72,F.3,F,Family 8 - Child 2 - Lineage 72 - TP4,8AB4K_25YA69
S8AB4K_25YA70,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA70
S8AB4K_25YA71,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA71
S8AB4K_25YA72,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4K_25YA72
S8AB4N_25YA25,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA25
